SongName,Note1,Note2,Note3,Note4,Note5,Note6,Note7,Note8,Note9,Note10,Note11,Note12,Note13,Note14,Note15,Note16,Note17,Note18,Note19,Note20,Note21
Shimmering Rhapsody,mi,sol,ti,ti,re,sol,ti,fa,mi,mi,ti,mi,ti,la,la,do,re,do,sol,la,ti
Shimmering Quest,sol,la,do,ti,ti,fa,sol,mi,sol,la,re,la,mi,sol,fa,la,ti,mi,re,fa,mi
Winter Ballad,ti,fa,fa,re,re,sol,re,ti,do,do,sol,ti,re,mi,la,ti,fa,sol,mi,fa,ti
Ancient Dreams,mi,sol,la,sol,re,ti,fa,ti,do,sol,sol,mi,do,re,mi,re,ti,re,mi,sol,la
Distant Tale,re,sol,sol,sol,sol,fa,re,mi,sol,re,fa,do,sol,mi,la,re,fa,fa,mi,re,sol
Gleaming Dreams,re,mi,re,mi,ti,do,sol,do,sol,fa,re,la,fa,sol,do,ti,sol,re,fa,re,ti
Distant Quest,fa,do,la,la,ti,ti,mi,mi,la,re,fa,ti,mi,re,sol,fa,fa,do,fa,mi,re
Quiet Saga,la,la,re,ti,la,mi,mi,re,sol,do,do,re,ti,re,do,ti,la,re,ti,re,mi
Summer Harmony,re,re,fa,sol,fa,do,sol,fa,la,fa,la,do,la,do,re,do,ti,fa,mi,ti,ti
Gleaming Saga,re,re,fa,re,sol,sol,mi,sol,la,mi,fa,ti,re,do,ti,la,fa,re,la,re,re
Shimmering Sonata,fa,do,ti,ti,ti,sol,do,ti,ti,do,la,mi,fa,sol,re,sol,fa,fa,do,mi,la
Ancient Journey,ti,do,sol,mi,mi,sol,la,fa,sol,do,la,re,mi,la,mi,mi,mi,la,re,do,do
Magical Saga,mi,fa,re,la,re,re,mi,la,ti,do,ti,sol,la,mi,la,fa,re,ti,do,do,la
Distant Voyage,ti,re,sol,la,do,mi,la,do,mi,re,do,mi,re,ti,la,mi,ti,ti,do,ti,sol
Quiet Journey,mi,ti,la,mi,re,do,re,mi,la,do,re,re,fa,fa,fa,sol,la,fa,sol,mi,re
Whispering Quest,sol,do,ti,re,ti,fa,re,re,re,re,do,mi,ti,la,ti,sol,ti,mi,la,sol,re
Eternal Echoes,mi,ti,mi,la,sol,ti,mi,re,do,mi,do,ti,sol,sol,sol,do,fa,sol,ti,ti,la
Ancient Saga,re,fa,la,la,fa,do,sol,sol,ti,fa,re,sol,la,fa,do,sol,re,sol,do,fa,la
Quiet Lullaby,ti,mi,sol,do,sol,sol,la,la,la,fa,fa,la,do,do,ti,fa,la,re,mi,sol,la
Vibrant Whispers,ti,la,la,mi,mi,la,mi,fa,ti,fa,sol,ti,ti,mi,mi,fa,fa,mi,mi,ti,do
Winter Rhapsody,la,mi,sol,do,mi,do,sol,fa,sol,ti,sol,re,fa,do,fa,do,la,ti,do,do,re
Celestial Harmony,re,la,re,ti,sol,fa,la,sol,re,do,ti,re,la,sol,mi,do,do,ti,do,fa,re
Vibrant Tale,ti,mi,ti,la,la,do,mi,sol,la,do,ti,la,fa,sol,re,mi,mi,sol,la,fa,re
Modern Rhapsody,la,fa,ti,do,sol,do,do,do,sol,ti,mi,fa,re,la,fa,ti,ti,mi,mi,la,la
Spring Harmony,ti,la,re,ti,re,la,la,la,mi,mi,fa,do,sol,mi,la,ti,la,do,do,re,ti
Summer Adventure,mi,sol,mi,sol,re,sol,do,mi,mi,do,do,la,sol,do,la,sol,fa,fa,sol,do,la
Whispering Serenade,fa,sol,ti,la,ti,do,sol,sol,do,mi,ti,fa,ti,fa,ti,ti,mi,mi,do,re,la
Whispering Melody,do,mi,ti,fa,ti,do,re,mi,la,re,re,ti,sol,re,do,la,mi,do,re,re,do
Rustic Echoes,sol,sol,do,ti,do,la,sol,sol,re,la,la,do,do,mi,la,fa,mi,mi,mi,sol,mi
Twilight Echoes,la,sol,ti,ti,mi,re,do,re,fa,la,do,do,mi,re,ti,do,la,re,re,ti,sol
Shimmering Harmony,sol,sol,do,ti,sol,re,sol,ti,fa,fa,re,do,ti,ti,re,ti,mi,mi,re,la,do
Distant Fantasy,mi,la,mi,ti,re,fa,ti,do,mi,la,ti,ti,re,mi,re,sol,la,ti,sol,ti,fa
Rustic Memories,sol,ti,sol,mi,ti,la,la,la,ti,la,do,mi,sol,ti,mi,ti,do,do,sol,la,do
Magical Symphony,la,re,mi,do,do,ti,sol,sol,re,re,la,re,ti,mi,la,ti,do,sol,fa,do,sol
Loud Serenade,sol,re,do,mi,sol,do,sol,fa,ti,ti,la,la,fa,la,do,do,re,do,fa,re,la
Ancient Fantasy,mi,ti,ti,sol,ti,do,re,fa,mi,la,la,fa,ti,sol,mi,mi,ti,ti,fa,sol,fa
Celestial Chorus,fa,sol,re,mi,do,sol,sol,sol,mi,ti,sol,sol,re,la,re,sol,fa,la,sol,sol,sol
Mystic Adventure,mi,mi,la,ti,fa,ti,fa,la,fa,la,sol,ti,mi,sol,re,re,mi,mi,mi,la,sol
Autumn Memories,fa,do,mi,fa,mi,sol,ti,do,re,sol,sol,mi,re,sol,fa,fa,la,ti,fa,sol,re
Summer Memories,fa,mi,la,re,ti,sol,re,do,ti,fa,la,re,sol,mi,sol,do,la,ti,do,do,re
Quiet Serenade,re,fa,fa,la,do,fa,re,fa,sol,mi,ti,ti,mi,sol,la,sol,sol,la,fa,ti,sol